;precision;recall;f1-score;support
ind_Latn;0.9282385834109972;0.9841897233201581;0.9553956834532373;1012.0
tha_Thai;1.0;1.0;1.0;1012.0
urd_Arab;0.9990128331688055;1.0;0.9995061728395062;1012.0
isl_Latn;1.0;1.0;1.0;1012.0
hrv_Latn;0.6261355695317959;0.8853754940711462;0.7335243553008597;1012.0
lao_Laoo;1.0;0.9990118577075099;0.9995056846267919;1012.0
bul_Cyrl;1.0;0.9990118577075099;0.9995056846267919;1012.0
dan_Latn;0.9970238095238095;0.9930830039525692;0.9950495049504952;1012.0
pes_Arab;0.996993987975952;0.983201581027668;0.990049751243781;1012.0
tur_Latn;0.9970443349753695;1.0;0.9985199802664035;1012.0
arb_Arab;0.9950835791543756;1.0;0.9975357318876293;1012.0
fin_Latn;1.0;1.0;1.0;1012.0
khk_Cyrl;1.0;1.0;1.0;1012.0
tgk_Cyrl;1.0;1.0;1.0;1012.0
jav_Latn;1.0;0.9960474308300395;0.998019801980198;1012.0
pbt_Arab;1.0;0.9960474308300395;0.998019801980198;1012.0
nob_Latn;0.9930830039525692;0.9930830039525692;0.9930830039525692;1012.0
ast_Latn;0.9911330049261083;0.9940711462450593;0.9925999013320179;1012.0
slk_Latn;0.9990128331688055;1.0;0.9995061728395062;1012.0
amh_Ethi;0.9990128331688055;1.0;0.9995061728395062;1012.0
afr_Latn;0.9990118577075099;0.9990118577075099;0.9990118577075099;1012.0
sna_Latn;0.9931305201177625;1.0;0.9965534219596258;1012.0
snd_Arab;1.0;1.0;1.0;1012.0
xho_Latn;0.9774509803921568;0.9851778656126482;0.9812992125984252;1012.0
hun_Latn;0.9950835791543756;1.0;0.9975357318876293;1012.0
tel_Telu;1.0;1.0;1.0;1012.0
nso_Latn;1.0;0.9940711462450593;0.9970267591674926;1012.0
ibo_Latn;1.0;1.0;1.0;1012.0
fra_Latn;0.9960591133004926;0.9990118577075099;0.9975333004440058;1012.0
kan_Knda;1.0;1.0;1.0;1012.0
ceb_Latn;1.0;0.9990118577075099;0.9995056846267919;1012.0
spa_Latn;0.9931237721021611;0.9990118577075099;0.9960591133004927;1012.0
tam_Taml;1.0;1.0;1.0;1012.0
ron_Latn;1.0;1.0;1.0;1012.0
bel_Cyrl;1.0;1.0;1.0;1012.0
ory_Orya;1.0;1.0;1.0;1012.0
som_Latn;1.0;1.0;1.0;1012.0
umb_Latn;0.992964824120603;0.9762845849802372;0.9845540607872446;1012.0
oci_Latn;1.0;0.9990118577075099;0.9995056846267919;1012.0
